customer_id,full_name,country,segment,email,phone
C0001,Ana Martinez,Chile,Basic,ana.martinez1@email.com,+13218196001
C0002,Diego Cruz,Ecuador,Premium,diego.cruz2@email.com,+13863794026
C0003,Roberto Vargas,Chile,Standard,roberto.vargas3@email.com,+15116155940
C0004,Fernando Mendez,Costa Rica,Premium,fernando.mendez4@email.com,+11849593103
C0005,Camila Perez,Colombia,Standard,camila.perez5@email.com,+16475255341
C0006,Andrea Rodriguez,Peru,Standard,andrea.rodriguez6@email.com,+17648350305
C0007,Miguel Vargas,Chile,Premium,miguel.vargas7@email.com,+19537672423
C0008,Natalia Mendez,Dominican Republic,Basic,natalia.mendez8@email.com,+16965328710
C0009,Ana Hernandez,Costa Rica,Standard,ana.hernandez9@email.com,+19166978480
C0010,Ana Mendez,Guatemala,Basic,ana.mendez10@email.com,+11462704828
C0011,Ana Reyes,Peru,Standard,ana.reyes11@email.com,+15288095701
C0012,Patricia Reyes,Mexico,Standard,patricia.reyes12@email.com,+13911718227
C0013,Natalia Rodriguez,Ecuador,Basic,natalia.rodriguez13@email.com,+19638346578
C0014,Fernando Garcia,Chile,Standard,fernando.garcia14@email.com,+11509839301
C0015,Maria Cruz,Mexico,Premium,maria.cruz15@email.com,+15183473829
C0016,Pablo Ramirez,Panama,Standard,pablo.ramirez16@email.com,+16311656670
C0017,Ana Lopez,Guatemala,VIP,ana.lopez17@email.com,+11333872624
C0018,Fernando Cruz,Panama,Premium,fernando.cruz18@email.com,+18108013267
C0019,Daniela Morales,Mexico,VIP,daniela.morales19@email.com,+12606474687
C0020,Luis Morales,Chile,Basic,luis.morales20@email.com,+10980500978
C0021,Jorge Rodriguez,Ecuador,Premium,jorge.rodriguez21@email.com,+11219136193
C0022,Pablo Ortega,Dominican Republic,Premium,pablo.ortega22@email.com,+11699854353
C0023,Andres Ruiz,Argentina,Standard,andres.ruiz23@email.com,+17510799118
C0024,Diego Flores,Peru,Basic,diego.flores24@email.com,+15135427849
C0025,Jorge Martinez,Colombia,Basic,jorge.martinez25@email.com,+12411824493
C0026,Roberto Morales,Ecuador,Basic,roberto.morales26@email.com,+17401640052
C0027,Andres Rodriguez,Ecuador,VIP,andres.rodriguez27@email.com,+16801128059
C0028,Natalia Hernandez,Peru,VIP,natalia.hernandez28@email.com,+10450533158
C0029,Isabel Ortega,Chile,Standard,isabel.ortega29@email.com,+12260256342
C0030,Ana Ruiz,Panama,Premium,ana.ruiz30@email.com,+13375433036
C0031,Roberto Vargas,Argentina,Premium,roberto.vargas31@email.com,+15868501429
C0032,Andres Lopez,Dominican Republic,Premium,andres.lopez32@email.com,+16556981693
C0033,Andres Lopez,Mexico,VIP,andres.lopez33@email.com,+18835615951
C0034,Camila Flores,Costa Rica,Basic,camila.flores34@email.com,+15648236629
C0035,Pablo Reyes,Ecuador,VIP,pablo.reyes35@email.com,+10443699577
C0036,Fernando Morales,Peru,VIP,fernando.morales36@email.com,+11489513433
C0037,Luis Martinez,Chile,Premium,luis.martinez37@email.com,+17917693676
C0038,Valentina Hernandez,Colombia,Premium,valentina.hernandez38@email.com,+16328708317
C0039,Luis Sanchez,Panama,Basic,luis.sanchez39@email.com,+19868727743
C0040,Andres Flores,Chile,VIP,andres.flores40@email.com,+14714345581
C0041,Luis Hernandez,Costa Rica,Standard,luis.hernandez41@email.com,+12316658760
C0042,Diego Diaz,Dominican Republic,VIP,diego.diaz42@email.com,+10967054668
C0043,Natalia Ortega,Panama,Standard,natalia.ortega43@email.com,+13467065627
C0044,Luis Ortega,Costa Rica,Premium,luis.ortega44@email.com,+19901627204
C0045,Miguel Torres,Panama,Standard,miguel.torres45@email.com,+15564641708
C0046,Maria Gomez,Colombia,Standard,maria.gomez46@email.com,+10033092327
C0047,Ana Castro,Panama,Standard,ana.castro47@email.com,+14529912419
C0048,Carlos Reyes,Costa Rica,VIP,carlos.reyes48@email.com,+13193149190
C0049,Patricia Mendez,Guatemala,VIP,patricia.mendez49@email.com,+11850671657
C0050,Luis Diaz,Ecuador,Standard,luis.diaz50@email.com,+14987769453
C0051,Juan Vargas,Chile,VIP,juan.vargas51@email.com,+17996507527
C0052,Diego Gomez,Guatemala,Basic,diego.gomez52@email.com,+14948083136
C0053,Daniela Mendez,Panama,Standard,daniela.mendez53@email.com,+17701436349
C0054,Patricia Ramirez,Costa Rica,Basic,patricia.ramirez54@email.com,+18557444313
C0055,Roberto Garcia,Chile,Standard,roberto.garcia55@email.com,+13749894134
C0056,Valentina Gomez,Argentina,Standard,valentina.gomez56@email.com,+10824008427
C0057,Ana Martinez,Panama,Basic,ana.martinez57@email.com,+17752047116
C0058,Daniela Perez,Peru,Premium,daniela.perez58@email.com,+12941318699
C0059,Andrea Cruz,Panama,VIP,andrea.cruz59@email.com,+17496499091
C0060,Diego Morales,Colombia,Basic,diego.morales60@email.com,+12328120679
C0061,Daniela Reyes,Chile,Premium,daniela.reyes61@email.com,+14471349361
C0062,Natalia Cruz,Argentina,Standard,natalia.cruz62@email.com,+12102499471
C0063,Fernando Reyes,Argentina,VIP,fernando.reyes63@email.com,+18877190659
C0064,Andres Martinez,Chile,Premium,andres.martinez64@email.com,+19904902787
C0065,Andres Rodriguez,Panama,VIP,andres.rodriguez65@email.com,+11756551256
C0066,Daniela Reyes,Ecuador,VIP,daniela.reyes66@email.com,+10715451680
C0067,Natalia Sanchez,Mexico,VIP,natalia.sanchez67@email.com,+13859770348
C0068,Luis Reyes,Panama,VIP,luis.reyes68@email.com,+11093248086
